Match index	Player Name	Ping	Kills	Assists	Deaths	MVP	HSP	Score	Map	Duration	Wait time	Date	Match Score
7	è£…ç”²ãƒ­ãƒœãƒƒãƒˆéŸ³	35	36	3	17	6	33	79	Competitive Cache	Match Duration: 28:19	Wait Time: 00:13	2021-05-09 23:20:30 GMT	16:04
4	Â¿? not click Â¿?	39	18	7	25	0	50	46	Competitive Cache	Match Duration: 46:14	Wait Time: 01:02	2021-05-10 23:07:10 GMT	13:16
1	Creme de abacate	48	15	4	19	0	53	45	Competitive Inferno	Match Duration: 40:25	Wait Time: 00:38	2021-05-12 00:09:23 GMT	16:08
8	Eu sou do Rock ðŸ¤˜	41	13	7	21	2	23	36	Competitive Inferno	Match Duration: 27:00	Wait Time: 00:22	2021-05-09 22:50:06 GMT	16:01
5	felipeira	49	23	3	22	4	29	61	Competitive Inferno	Match Duration: 46:33	Wait Time: 00:40	2021-05-10 22:13:42 GMT	15:15
2	Vortex MaGiT 14	15	22	10	25	3	27	61	Competitive Dust II	Match Duration: 28:58	Wait Time: 02:15	2021-05-11 17:02:30 GMT	6:16
9	â›§ yari	27	23	1	23	4	47	50	Competitive Mirage	Match Duration: 43:03	Wait Time: 00:15	2021-05-09 14:23:10 GMT	9:16
6	tortugoxx	5	18	6	25	0	55	46	Competitive Mirage	Match Duration: 40:19	Wait Time: 00:19	2021-05-10 00:00:30 GMT	16:12
3	CariocaXD	48	16	5	22	2	43	42	Competitive Mirage	Match Duration: 39:37	Wait Time: 01:01	2021-05-11 16:15:42 GMT	10:16
0	GOREFEST	30	23	4	11	5	30	62	Competitive Overpass	Match Duration: 33:20	Wait Time: 01:34	2021-05-13 02:20:43 GMT	16:04
7	makima god	5	22	4	16	4	54	50	Competitive Cache	Match Duration: 28:19	Wait Time: 00:13	2021-05-09 23:20:30 GMT	16:04
4	Pisco a lo Macho	12	19	3	17	3	40	49	Competitive Cache	Match Duration: 46:14	Wait Time: 01:02	2021-05-10 23:07:10 GMT	13:16
1	tortugoxx	25	13	5	15	3	46	35	Competitive Inferno	Match Duration: 40:25	Wait Time: 00:38	2021-05-12 00:09:23 GMT	16:08
